,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,open_play_crosses,big_chances_created,clearances_blocks_interception,recoveries,key_passes,tackles,attempted_passes,completed_passes,big_chances_missed,errors_leading_to_goal,errors_leading_to_goal_attempt,tackled,offside,target_missed,fouls,dribbles,total_points,threshold
0,21,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,21,3,15,1,0,0,0,0,0,0,0,3,30,40.2,0.3,34.0,7.5,0,0,0,3,0,1,4,2,0,0,0,0,0,0,0,0,8,1
3,21,4,6,0,0,0,0,0,0,0,0,0,3,0.4,0.8,0.0,0.1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0
4,21,5,10,0,0,0,1,0,0,0,0,0,1,0.0,10.8,6.0,1.6,0,0,0,2,1,0,3,3,0,0,0,1,0,1,1,0,1,0
5,21,6,10,0,0,0,0,0,0,0,0,0,1,1.0,0.9,18.0,2.0,0,0,1,2,0,0,6,6,0,0,0,1,0,0,1,0,1,0
6,21,7,13,0,0,0,0,0,0,0,0,0,3,2.8,10.5,0.0,1.3,0,0,0,1,1,0,6,4,0,0,0,1,0,0,0,0,1,0
7,21,8,61,0,1,0,1,0,0,0,0,0,22,26.0,33.1,4.0,6.3,0,0,1,2,3,2,24,17,0,0,0,0,0,0,0,0,5,0
8,21,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,21,10,22,0,0,0,1,0,0,0,0,0,2,3.2,0.3,0.0,0.4,0,0,0,1,0,0,3,2,0,0,0,3,0,0,0,2,1,0
10,21,11,9,0,0,0,0,0,0,0,0,0,1,0.0,0.1,4.0,0.3,0,0,0,1,0,0,4,2,0,0,0,1,0,0,1,0,1,0
11,21,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,21,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,21,14,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,21,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
